Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,[invisible]
>>,invis
create,>>
begin editing,>>
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
finish editing,finish editing
begin editing,>>
insert document,insert document
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
finish editing,finish editing
>>,invis
finish editing,finish editing
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
discard,>>
