Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
create,>>
create,>>
calculate,>>
calculate,>>
finish editing,finish editing
>>,[invisible]
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
save,save
>>,invis
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
save,save
calculate,>>
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
